texto,label
"EMENTA: PROCESSUAL CIVIL. AÇÃO DE COBRANÇA. CONTRATO DE EMPRÉSTIMO. JUROS ABUSIVOS. CAPITALIZAÇÃO MENSAL. NÃO PACTUADA. 1. A capitalização mensal de juros só é permitida quando expressamente pactuada. 2. No caso, o contrato não previa a capitalização mensal, sendo devida apenas a capitalização anual. 3. Apelação provida em parte.",0
"EMENTA: DIREITO ADMINISTRATIVO. SERVIDOR PÚBLICO. PROGRESSÃO FUNCIONAL. AVALIAÇÃO DE DESEMPENHO. CRITÉRIOS SUBJETIVOS. 1. A progressão funcional deve observar critérios objetivos previstos em lei. 2. A avaliação de desempenho baseada em critérios subjetivos fere o princípio da isonomia. 3. Recurso especial provido.",0
"EMENTA: TRIBUTÁRIO. IPTU. PROGRESSIVIDADE. ALÍQUOTAS. CONSTITUCIONALIDADE. 1. O IPTU pode ter alíquotas progressivas em razão do valor do imóvel, desde que respeitados os princípios constitucionais. 2. A progressividade fiscal é vedada, mas a progressividade extrafiscal é permitida. 3. Recurso especial não provido.",0
"EMENTA: CIVIL. RESPONSABILIDADE CIVIL. DANO MORAL. ATRASO DE VOO. INDENIZAÇÃO. CABIMENTO. 1. O atraso de voo gera dano moral quando extrapola o tempo razoável de espera e causa transtornos relevantes ao passageiro. 2. A indenização deve ser fixada de forma proporcional ao dano sofrido. 3. Recurso conhecido e provido.",0
"EMENTA: PENAL. CRIME CONTRA A ORDEM TRIBUTÁRIA. MATERIALIDADE. AUTORIA. DÉBITO FISCAL. LANÇAMENTO DEFINITIVO. 1. Para a caracterização do crime contra a ordem tributária, necessário o lançamento definitivo do tributo. 2. A mera existência de débito fiscal não configura crime sem o exaurimento da via administrativa. 3. Habeas corpus concedido.",0
"EMENTA: TRABALHISTA. HORAS EXTRAS. INTERVALO INTRAJORNADA. CONCESSÃO PARCIAL. EFEITOS. 1. A concessão parcial do intervalo intrajornada implica o pagamento de todo o período como hora extra. 2. O adicional deve ser de 50% sobre o valor da hora normal. 3. Recurso de revista conhecido e provido.",0
"EMENTA: CONSUMIDOR. PLANO DE SAÚDE. NEGATIVA DE COBERTURA. PROCEDIMENTO EXPERIMENTAL. ABUSIVIDADE. 1. A negativa de cobertura de tratamento experimental é abusiva quando não há alternativa terapêutica disponível. 2. O rol de procedimentos da ANS é exemplificativo, não taxativo. 3. Recurso especial provido.",0
"EMENTA: PROCESSUAL CIVIL. CUMPRIMENTO DE SENTENÇA. IMPUGNAÇÃO. JUROS DE MORA. TERMO INICIAL. 1. Os juros de mora no cumprimento de sentença incidem a partir da citação. 2. A impugnação não tem efeito suspensivo, salvo quando demonstrado o risco de dano irreparável. 3. Agravo de instrumento provido.",0
"EMENTA: PREVIDENCIÁRIO. APOSENTADORIA POR INVALIDEZ. QUALIDADE DE SEGURADO. PERDA. REQUISITOS. 1. A aposentadoria por invalidez exige a qualidade de segurado na data do início da incapacidade. 2. A perda da qualidade de segurado pode ser reconhecida quando não há contribuição por período superior ao de carência. 3. Apelação não provida.",0
"EMENTA: COMERCIAL. CONTRATO DE FRANQUIA. RESCISÃO UNILATERAL. CLÁUSULA DE EXCLUSIVIDADE. ABUSIVIDADE. 1. A rescisão unilateral do contrato de franquia é permitida quando houver descumprimento de obrigações essenciais. 2. A cláusula de exclusividade não pode ser utilizada para perpetuar o vínculo de forma abusiva. 3. Recurso especial parcialmente provido.",0
